instance,Unnamed: 0,status,obj,model time (s),total time (s),gap
BA_01_deadline,0,2,28.0,0.0060000419616699,0.0156214237213134,0.0
BA_01_makespan,0,2,53.0,0.0050001144409179,0.0222818851470947,0.0
BA_02_deadline,0,2,28.0,0.0060000419616699,0.0093741416931152,0.0
BA_02_makespan,0,2,53.0,0.0050001144409179,0.0264794826507568,0.0
BA_03_deadline,0,2,75.0,0.0099999904632568,0.0273423194885253,0.0
BA_03_makespan,0,2,106.0,0.0190000534057617,0.0358567237854003,0.0
BA_04_deadline,0,2,75.0,0.0099999904632568,0.0283401012420654,0.0
BA_04_makespan,0,2,106.0,0.0190000534057617,0.0384049415588378,0.0
BA_05_deadline,0,2,75.0,0.0099999904632568,0.0315866470336914,0.0
BA_05_makespan,0,2,106.0,0.0209999084472656,0.031259536743164,0.0
BA_06_deadline,0,2,74.0,0.0180001258850097,0.0221970081329345,0.0
BA_06_makespan,0,2,97.0,0.0150001049041748,0.0313813686370849,0.0
BA_07_deadline,0,2,11.0,0.0919997692108154,0.1103923320770263,0.0
BA_07_makespan,0,2,36.0,0.3470001220703125,0.3739087581634521,0.0
BA_08_deadline,0,2,25.0,0.0899999141693115,0.1217269897460937,0.0
BA_08_makespan,0,9,55.0,3600.590000152588,3600.616818189621,0.0909090909090909
BA_09_deadline,0,2,74.0,0.0119998455047607,0.0242025852203369,0.0
BA_09_makespan,0,2,97.0,0.0240001678466796,3.891523122787476,0.0
BA_10_deadline,0,9,29.0,3600.4560000896454,3600.487545967102,0.1034482758620689
BA_10_makespan,0,2,60.0,0.1610000133514404,0.1848180294036865,0.0
BA_11_deadline,0,2,34.0,0.5479998588562012,3.403101921081543,0.0
BA_11_makespan,0,2,77.0,0.4229998588562011,0.4631738662719726,0.0
BA_12_deadline,0,2,20.0,1.944000005722046,1.9872334003448489,0.0
BA_12_makespan,0,2,66.0,6.136000156402588,6.185251474380493,0.0
BA_13_deadline,0,2,19.0,41.03099989891052,41.08855676651001,0.0
BA_13_makespan,0,2,84.0,81.66199994087219,81.70470929145813,0.0
BA_14_deadline,0,9,41.0,3600.0360000133514,3600.0963056087494,0.3658536585365853
BA_14_makespan,0,9,110.0,3600.4850001335144,3600.5589275360107,0.209090909090909
BA_15_deadline,0,9,41.0,3600.0039999485016,3605.473314523697,0.3902439024390244
BA_15_makespan,0,9,110.0,3600.319000005722,3601.2686116695404,0.209090909090909
BA_16_deadline,0,9,53.0,3600.066999912262,3605.372493505478,0.8490566037735849
BA_16_makespan,0,9,139.0,3600.723000049591,3601.6574494838715,0.4460431654676259
BA_17_deadline,0,9,97.0,3600.161999940872,3617.564181804657,0.9690721649484536
BA_17_makespan,0,9,215.0,3600.2450001239777,3619.807181596756,0.5813953488372093
BA_18_deadline,0,9,137.0,3601.146999835968,3610.663328409195,0.9197080291970804
BA_18_makespan,0,9,233.0,3600.603999853134,3603.336457967758,0.6008583690987125
BA_19_deadline,0,9,166.0,3600.4420001506805,3603.233865261078,0.9879518072289156
BA_19_makespan,0,9,358.0,3602.428999900818,3605.151502132416,0.7011173184357542
BA_20_deadline,0,9,242.0,3600.218999862671,3606.6253876686096,0.975206611570248
BA_20_makespan,0,9,415.0,3601.1429998874664,3603.392589092255,0.7132530120481928
FTQL_deadline,0,2,47572.0,0.1019999980926513,0.1330740451812744,0.0
FTQL_makespan,0,2,74452.0,0.1510000228881836,0.1880240440368652,0.0
Fattahi_setup_01_modified_makespan,0,2,1231.0,0.0150001049041748,0.0274298191070556,0.0
Fattahi_setup_01_modified_old_deadline,0,2,271.0,0.0290000438690185,0.0442283153533935,0.0
Fattahi_setup_01_modified_old_makespan,0,2,1231.0,0.0670001506805419,0.1035506725311279,0.0
Fattahi_setup_02_modified_makespan,0,2,1339.0,0.0099999904632568,0.0196483135223388,0.0
Fattahi_setup_02_modified_old_deadline,0,2,379.0,0.0099999904632568,0.028383731842041,0.0
Fattahi_setup_02_modified_old_makespan,0,2,1339.0,0.0130000114440917,0.0254371166229248,0.0
Fattahi_setup_03_modified_makespan,0,2,2620.0,0.0269999504089355,0.0389502048492431,0.0
Fattahi_setup_03_modified_old_deadline,0,2,1180.0,0.0409998893737793,0.0550003051757812,0.0
Fattahi_setup_03_modified_old_makespan,0,2,2620.0,0.0329999923706054,0.0508089065551757,0.0
Fattahi_setup_04_modified_makespan,0,2,3152.0,0.0360000133514404,0.0510706901550293,0.0
Fattahi_setup_04_modified_old_deadline,0,2,1712.0,0.0240001678466796,0.0484991073608398,0.0
Fattahi_setup_04_modified_old_makespan,0,2,3152.0,0.0399999618530273,0.0540237426757812,0.0
Fattahi_setup_05_modified_makespan,0,2,2027.0,0.505000114440918,0.5170209407806396,0.0
Fattahi_setup_05_modified_old_deadline,0,2,587.0,0.0609998703002929,0.0830950736999511,0.0
Fattahi_setup_05_modified_old_makespan,0,2,2027.0,0.6200001239776611,0.645949125289917,0.0
Fattahi_setup_06_modified_makespan,0,2,3306.0,0.0460000038146972,0.060927391052246,0.0
Fattahi_setup_06_modified_old_deadline,0,2,1866.0,0.0720000267028808,0.0945239067077636,0.0
Fattahi_setup_06_modified_old_makespan,0,2,3306.0,0.0509998798370361,0.067638874053955,0.0
Fattahi_setup_07_modified_makespan,0,2,2932.0,0.0680000782012939,0.0792474746704101,0.0
Fattahi_setup_07_modified_old_deadline,0,2,1492.0,0.0929999351501464,0.1179583072662353,0.0
Fattahi_setup_07_modified_old_makespan,0,2,2932.0,0.0750000476837158,0.0864739418029785,0.0
Fattahi_setup_08_modified_makespan,0,2,2365.0,0.0570001602172851,0.0770137310028076,0.0
Fattahi_setup_08_modified_old_deadline,0,2,925.0,0.0869998931884765,0.122960090637207,0.0
Fattahi_setup_08_modified_old_makespan,0,2,2365.0,0.0720000267028808,0.0899865627288818,0.0
Fattahi_setup_09_modified_makespan,0,2,2290.0,0.0920000076293945,0.1119449138641357,0.0
Fattahi_setup_09_modified_old_deadline,0,2,850.0,0.1299998760223388,0.1647224426269531,0.0
Fattahi_setup_09_modified_old_makespan,0,2,2290.0,0.0780000686645507,0.1107831001281738,0.0
Fattahi_setup_10_modified_makespan,0,2,4834.0,0.0400002002716064,0.0596680641174316,0.0
Fattahi_setup_10_modified_old_deadline,0,2,2914.0,0.0720000267028808,0.0880358219146728,0.0
Fattahi_setup_10_modified_old_makespan,0,2,4834.0,0.0460000038146972,0.0635356903076171,0.0
Fattahi_setup_11_modified_makespan,0,2,5602.0,1.2910001277923584,1.3216445446014404,0.0
Fattahi_setup_11_modified_old_deadline,0,2,3202.0,1.4240000247955322,1.454359769821167,0.0
Fattahi_setup_11_modified_old_makespan,0,2,5602.0,1.3989999294281006,1.4336233139038086,0.0
Fattahi_setup_12_modified_makespan,0,2,5308.0,2.46500015258789,2.4935622215271,0.0
Fattahi_setup_12_modified_old_deadline,0,2,2908.0,8.470999956130981,8.51380705833435,0.0
Fattahi_setup_12_modified_old_makespan,0,2,5308.0,2.58899998664856,2.632731914520264,0.0
Fattahi_setup_13_modified_makespan,0,2,7247.0,15.929999828338625,15.970234155654907,0.0
Fattahi_setup_13_modified_old_deadline,0,2,4367.0,337.96399998664856,338.01874113082886,0.0
Fattahi_setup_13_modified_old_makespan,0,2,7247.0,18.51200008392334,18.56950044631958,0.0
Fattahi_setup_14_modified_makespan,0,2,8581.0,33.592000007629395,33.641714334487915,0.0
Fattahi_setup_14_modified_old_deadline,0,2,5221.0,717.0339999198914,717.0936460494995,0.0
Fattahi_setup_14_modified_old_makespan,0,2,8581.0,41.58800005912781,41.66557335853577,0.0
Fattahi_setup_15_modified_makespan,0,2,8885.0,114.99699997901917,115.05916929244997,0.0
Fattahi_setup_15_modified_old_deadline,0,2,5525.0,2893.957000017166,2894.01841545105,0.0
Fattahi_setup_15_modified_old_makespan,0,2,8885.0,168.28800010681152,168.36242270469666,0.0
Fattahi_setup_16_modified_makespan,0,9,11769.0,3600.0319998264317,3600.0994567871094,0.0089217435635992
Fattahi_setup_16_modified_old_deadline,0,9,7929.0,3600.276999950409,3603.0470774173737,0.2500945894816496
Fattahi_setup_16_modified_old_makespan,0,9,11769.0,3600.0350000858307,3600.157546758652,0.0194578978672779
Fattahi_setup_17_modified_makespan,0,9,15675.0,3600.283999919892,3602.553996324539,0.3726315789473684
Fattahi_setup_17_modified_old_deadline,0,9,11812.0,3600.207000017166,3624.0130009651184,0.4736708432102946
Fattahi_setup_17_modified_old_makespan,0,9,15675.0,3600.18700003624,3603.2209491729736,0.3722488038277512
Fattahi_setup_18_modified_makespan,0,9,17341.0,3600.128000020981,3623.263554096222,0.37448820713915
Fattahi_setup_18_modified_old_deadline,0,9,14463.0,3600.3919999599457,3604.6012341976166,0.5449076954988592
Fattahi_setup_18_modified_old_makespan,0,9,17341.0,3600.137000083924,3602.7939162254333,0.3737962055244795
Fattahi_setup_19_modified_makespan,0,9,24818.0,3600.133999824524,3604.474722862244,0.4984281268115592
Fattahi_setup_19_modified_old_deadline,0,9,20690.0,3600.457999944687,3616.574791193008,0.6028999516674722
Fattahi_setup_19_modified_old_makespan,0,9,24818.0,3600.1150000095367,3603.8762726783752,0.498065919896849
Fattahi_setup_20_modified_makespan,0,9,32566.0,3600.162999868393,3616.884964942932,0.5750783025241049
Fattahi_setup_20_modified_old_deadline,0,9,25448.0,3600.423000097275,3611.8013298511514,0.6763203395158756
Fattahi_setup_20_modified_old_makespan,0,9,32566.0,3600.701999902725,3605.369630813599,0.5752011300128969
MetalMeca_deadline,0,9,57993.0,3600.236000061035,3602.675726175308,0.7351404479851017
MetalMeca_makespan,0,9,524436.0,3600.191999912262,3602.140431880951,0.1367240235224126
PlasticInjection_deadline,0,9,293316370.0,3601.3109998703003,3608.278872489929,0.0987732553192325
PlasticInjection_makespan,0,9,293613703.0,3600.5789999961853,3601.609674453736,0.0832303395133179
URT_01_deadline,0,2,28.0,0.0269999504089355,5.850598573684692,0.0
URT_01_makespan,0,2,53.0,0.0130000114440917,3.1262896060943604,0.0
