instance,Unnamed: 0,status,obj,model time (s),total time (s),gap
Fattahi_setup_12_modified_old_deadline,0,2,2908.0,2.7259998321533203,2.997006893157959,0.0
Fattahi_setup_12_modified_old_makespan,0,2,5308.0,2.976999998092652,3.2524330615997314,0.0
Fattahi_setup_13_modified_old_deadline,0,2,4367.0,197.2769999504089,197.5695378780365,0.0
Fattahi_setup_13_modified_old_makespan,0,2,7247.0,23.669000148773197,23.950255632400516,0.0
Fattahi_setup_14_modified_old_deadline,0,9,5221.0,3600.15700006485,3600.6105284690857,0.126221030453936
Fattahi_setup_14_modified_old_makespan,0,2,8581.0,2336.9139997959137,2337.4959995746613,0.0
Fattahi_setup_15_modified_old_deadline,0,2,5525.0,3279.4169998168945,3279.7389862537384,0.0
Fattahi_setup_15_modified_old_makespan,0,2,8885.0,116.8199999332428,119.1565089225769,0.0
Fattahi_setup_16_modified_old_deadline,0,9,7929.0,3600.109999895096,3603.044269800186,0.1891789632992811
Fattahi_setup_16_modified_old_makespan,0,9,11769.0,3600.029000043869,3600.546651363373,0.0582037556291953
Fattahi_setup_17_modified_old_deadline,0,9,12944.0,3600.367000102997,3621.8586332798,0.5528430160692213
Fattahi_setup_17_modified_old_makespan,0,9,15652.0,3600.052999973297,3602.59689450264,0.362317914643496
Fattahi_setup_18_modified_old_deadline,0,9,14258.0,3600.2669999599457,3624.380430459976,0.5371721139009679
Fattahi_setup_18_modified_old_makespan,0,9,16896.0,3600.065999984741,3603.319742679596,0.3648200757575757
Fattahi_setup_19_modified_old_deadline,0,9,21317.0,3600.946000099182,3618.522113084793,0.6400056293099404
Fattahi_setup_19_modified_old_makespan,0,9,24936.0,3600.1710000038147,3604.6406259536734,0.4908966955405839
Fattahi_setup_20_modified_old_deadline,0,9,24957.0,3600.8639998435974,3604.325595378876,0.6537244059782826
Fattahi_setup_20_modified_old_makespan,0,9,30923.0,3600.9210000038147,3606.79726433754,0.5327749571516347
MetalMeca_deadline,0,9,69444.0,3600.408999919892,3602.941285610199,0.8531910604227867
MetalMeca_makespan,0,9,517777.0,3600.1529998779297,3602.2976365089417,0.1312011454833423
PlasticInjection_deadline,0,9,293316370.0,3601.6129999160767,3614.412414073944,0.0988428241501434
PlasticInjection_makespan,0,9,298804925.0,3601.253000020981,3602.0898990631104,0.1143902782916188
URT_01_deadline,0,2,28.0,0.0,0.3381898403167724,0.0
URT_01_makespan,0,2,44.0,0.0170001983642578,8.597150325775146,0.0
URT_02_deadline,0,2,28.0,0.0160000324249267,0.2771546840667724,0.0
URT_02_makespan,0,2,44.0,0.0169999599456787,0.3450369834899902,0.0
URT_03_deadline,0,2,75.0,0.0520000457763671,0.5105552673339844,0.0
URT_03_makespan,0,2,101.0,0.0340001583099365,0.3740084171295166,0.0
URT_04_deadline,0,2,75.0,0.0479998588562011,0.4969580173492431,0.0
URT_04_makespan,0,2,101.0,0.0310001373291015,0.3658483028411865,0.0
URT_05_deadline,0,2,75.0,0.0440001487731933,0.3069655895233154,0.0
URT_05_makespan,0,2,101.0,0.0410001277923584,0.3116383552551269,0.0
URT_06_deadline,0,2,112.0,0.0269999504089355,0.3603427410125732,0.0
URT_06_makespan,0,2,136.0,0.059000015258789,0.3883614540100097,0.0
URT_07_deadline,0,2,10.0,0.2690000534057617,1.663583278656006,0.0
URT_07_makespan,0,9,43.0,3600.346999883652,3600.6423223018646,0.0465115581420464
URT_08_deadline,0,2,27.0,0.3190000057220459,0.628896951675415,0.0
URT_08_makespan,0,2,48.0,0.2000000476837158,0.4793782234191894,0.0
URT_09_deadline,0,2,112.0,0.0379998683929443,0.3405735492706299,0.0
URT_09_makespan,0,2,136.0,0.0279998779296875,0.344714879989624,0.0
URT_10_deadline,0,2,33.0,1.3459999561309814,1.641366720199585,0.0
URT_10_makespan,0,2,66.0,0.9070000648498536,1.2347772121429443,0.0
URT_11_deadline,0,2,44.0,4.70199990272522,5.030181407928467,0.0
URT_11_makespan,0,2,93.0,5.690999984741211,6.016451358795166,0.0
URT_12_deadline,0,2,28.0,12.342999935150146,12.808654308319092,0.0
URT_12_makespan,0,2,72.0,17.88099980354309,18.343775272369385,0.0
URT_13_deadline,0,2,20.0,72.69400000572205,73.10020875930786,0.0
URT_13_makespan,0,2,92.0,440.9839999675751,441.39982414245605,0.0
URT_14_deadline,0,9,52.0,3600.0240001678467,3602.0605981349945,0.3653846153846153
