,instance,Unnamed: 0,status,obj,model time (s),total time (s),gap,source
60,Fattahi_setup_10_modified_old_deadline,0,2,deadline,0.0490000247955322,0.4959659576416015,0.0,heuristic+milp
61,Fattahi_setup_10_modified_old_makespan,0,2,makespan,0.0449998378753662,0.2647585868835449,0.0,heuristic+milp
62,Fattahi_setup_11_modified_old_deadline,0,2,deadline,1.4119999408721924,1.830873727798462,0.0,heuristic+milp
63,Fattahi_setup_11_modified_old_makespan,0,2,makespan,1.7450001239776611,2.192111730575561,0.0,heuristic+milp
64,Fattahi_setup_12_modified_old_deadline,0,2,deadline,2.7259998321533203,2.997006893157959,0.0,heuristic+milp
65,Fattahi_setup_12_modified_old_makespan,0,2,makespan,2.976999998092652,3.2524330615997314,0.0,heuristic+milp
66,Fattahi_setup_13_modified_old_deadline,0,2,deadline,197.2769999504089,197.5695378780365,0.0,heuristic+milp
67,Fattahi_setup_13_modified_old_makespan,0,2,makespan,23.6690001487732,23.95025563240052,0.0,heuristic+milp
68,Fattahi_setup_14_modified_old_deadline,0,9,deadline,3600.15700006485,3600.6105284690857,0.126221030453936,heuristic+milp
69,Fattahi_setup_14_modified_old_makespan,0,2,makespan,2336.9139997959137,2337.4959995746613,0.0,heuristic+milp
70,Fattahi_setup_15_modified_old_deadline,0,2,deadline,3279.4169998168945,3279.7389862537384,0.0,heuristic+milp
71,Fattahi_setup_15_modified_old_makespan,0,2,makespan,116.8199999332428,119.1565089225769,0.0,heuristic+milp
72,Fattahi_setup_16_modified_old_deadline,0,9,deadline,3600.109999895096,3603.044269800186,0.1891789632992811,heuristic+milp
73,Fattahi_setup_16_modified_old_makespan,0,9,makespan,3600.029000043869,3600.546651363373,0.0582037556291953,heuristic+milp
74,Fattahi_setup_17_modified_old_deadline,0,9,deadline,3600.367000102997,3621.8586332798,0.5528430160692213,heuristic+milp
75,Fattahi_setup_17_modified_old_makespan,0,9,makespan,3600.052999973297,3602.59689450264,0.362317914643496,heuristic+milp
76,Fattahi_setup_18_modified_old_deadline,0,9,deadline,3600.2669999599457,3624.380430459976,0.5371721139009679,heuristic+milp
77,Fattahi_setup_18_modified_old_makespan,0,9,makespan,3600.065999984741,3603.319742679596,0.3648200757575757,heuristic+milp
78,Fattahi_setup_19_modified_old_deadline,0,9,deadline,3600.946000099182,3618.522113084793,0.6400056293099404,heuristic+milp
79,Fattahi_setup_19_modified_old_makespan,0,9,makespan,3600.1710000038147,3604.6406259536734,0.4908966955405839,heuristic+milp
80,Fattahi_setup_20_modified_old_deadline,0,9,deadline,3600.8639998435974,3604.325595378876,0.6537244059782826,heuristic+milp
81,Fattahi_setup_20_modified_old_makespan,0,9,makespan,3600.9210000038147,3606.79726433754,0.5327749571516347,heuristic+milp
82,MetalMeca_deadline,0,9,deadline,3600.408999919892,3602.941285610199,0.8531910604227867,heuristic+milp
83,MetalMeca_makespan,0,9,makespan,3600.1529998779297,3602.2976365089417,0.1312011454833423,heuristic+milp
84,PlasticInjection_deadline,0,9,deadline,3601.6129999160767,3614.412414073944,0.0988428241501434,heuristic+milp
85,PlasticInjection_makespan,0,9,makespan,3601.253000020981,3602.0898990631104,0.1143902782916188,heuristic+milp
86,URT_01_deadline,0,2,deadline,0.0,0.3381898403167724,0.0,heuristic+milp
87,URT_01_makespan,0,2,makespan,0.0170001983642578,8.597150325775146,0.0,heuristic+milp
88,URT_02_deadline,0,2,deadline,0.0160000324249267,0.2771546840667724,0.0,heuristic+milp
89,URT_02_makespan,0,2,makespan,0.0169999599456787,0.3450369834899902,0.0,heuristic+milp
90,URT_03_deadline,0,2,deadline,0.0520000457763671,0.5105552673339844,0.0,heuristic+milp
91,URT_03_makespan,0,2,makespan,0.0340001583099365,0.3740084171295166,0.0,heuristic+milp
92,URT_04_deadline,0,2,deadline,0.0479998588562011,0.4969580173492431,0.0,heuristic+milp
93,URT_04_makespan,0,2,makespan,0.0310001373291015,0.3658483028411865,0.0,heuristic+milp
94,URT_05_deadline,0,2,deadline,0.0440001487731933,0.3069655895233154,0.0,heuristic+milp
95,URT_05_makespan,0,2,makespan,0.0410001277923584,0.3116383552551269,0.0,heuristic+milp
96,URT_06_deadline,0,2,deadline,0.0269999504089355,0.3603427410125732,0.0,heuristic+milp
97,URT_06_makespan,0,2,makespan,0.059000015258789,0.3883614540100097,0.0,heuristic+milp
98,URT_07_deadline,0,2,deadline,0.2690000534057617,1.663583278656006,0.0,heuristic+milp
99,URT_07_makespan,0,9,makespan,3600.346999883652,3600.6423223018646,0.0465115581420464,heuristic+milp
100,URT_08_deadline,0,2,deadline,0.3190000057220459,0.628896951675415,0.0,heuristic+milp
101,URT_08_makespan,0,2,makespan,0.2000000476837158,0.4793782234191894,0.0,heuristic+milp
102,URT_09_deadline,0,2,deadline,0.0379998683929443,0.3405735492706299,0.0,heuristic+milp
103,URT_09_makespan,0,2,makespan,0.0279998779296875,0.344714879989624,0.0,heuristic+milp
104,URT_10_deadline,0,2,deadline,1.3459999561309814,1.641366720199585,0.0,heuristic+milp
105,URT_10_makespan,0,2,makespan,0.9070000648498536,1.2347772121429443,0.0,heuristic+milp
106,URT_11_deadline,0,2,deadline,4.70199990272522,5.030181407928467,0.0,heuristic+milp
107,URT_11_makespan,0,2,makespan,5.690999984741211,6.016451358795166,0.0,heuristic+milp
108,URT_12_deadline,0,2,deadline,12.342999935150146,12.808654308319092,0.0,heuristic+milp
109,URT_12_makespan,0,2,makespan,17.88099980354309,18.343775272369385,0.0,heuristic+milp
110,URT_13_deadline,0,2,deadline,72.69400000572205,73.10020875930786,0.0,heuristic+milp
111,URT_13_makespan,0,2,makespan,440.9839999675751,441.39982414245605,0.0,heuristic+milp
112,URT_14_deadline,0,9,deadline,3600.0240001678467,3602.0605981349945,0.3653846153846153,heuristic+milp
113,URT_14_makespan,0,9,makespan,3600.302999973297,3600.916398048401,0.2333333333333333,heuristic+milp
114,URT_15_deadline,0,9,deadline,3600.0270001888275,3601.9517374038696,0.3653846153846153,heuristic+milp
115,URT_15_makespan,0,9,makespan,3600.0579998493195,3605.953993558884,0.2333333333333333,heuristic+milp
116,URT_16_deadline,0,9,deadline,3600.06200003624,3619.7427508831024,0.8909090909090909,heuristic+milp
117,URT_16_makespan,0,9,makespan,3600.069000005722,3606.9841141700745,0.4407894736842105,heuristic+milp
118,URT_17_deadline,0,9,deadline,3603.167999982834,3612.521061897278,0.9239130434782608,heuristic+milp
119,URT_17_makespan,0,9,makespan,3600.103000164032,3611.4785878658295,0.5855855855855856,heuristic+milp
120,URT_18_deadline,0,9,deadline,3600.2490000724792,3602.3273406028748,0.8888888888888888,heuristic+milp
121,URT_18_makespan,0,9,makespan,3600.315999984741,3602.844024181366,0.5737704918032787,heuristic+milp
122,URT_19_deadline,0,9,deadline,3600.9049999713898,3607.117635250092,0.9547738693467336,heuristic+milp
