0s;-;100%;0.00000;17222.000000;0;0;H
0s;-;100%;0.00000;16521.000000;0;0;H
0s;-;100%;0.00000;15740.000000;0;0;H
0s;-;100%;0.00000;15740.0000;34;0;0.00000;0;0
0s;-;100%;0.00000;15740.0000;36;0;0.00000;0;0
0s;-;100%;0.00000;14176.000000;0;0;H
0s;-;100%;0.00000;14174.000000;0;0;H
0s;-;100%;0.00000;14174.0000;52;0;0.00000;0;0
0s;-;100%;0.00000;14173.000000;0;0;H
0s;-;100%;0.00000;12835.000000;0;0;H
0s;-;100%;0.00000;12835.0000;56;0;0.00000;0;0
0s;-;100%;0.00000;11680.000000;0;0;H
0s;-;88.2%;1382.95716;11680.0000;74;0;1382.95716;0;0
0s;-;75.8%;2825.08724;11678.000000;0;0;H
0s;-;75.8%;2825.08724;11678.0000;67;0;2825.08724;0;0
0s;-;74.3%;2997.07881;11678.0000;67;0;2997.07881;0;0
0s;-;74.2%;3007.32037;11678.0000;72;0;3007.32037;0;0
0s;-;72.4%;3007.32037;10895.000000;0;0;H
0s;-;72.1%;3035.67841;10895.0000;68;0;3035.67841;0;0
0s;-;72.1%;3035.67841;10895.0000;72;0;3035.67841;0;0
0s;-;72.1%;3037.98043;10895.0000;69;0;3037.98043;0;0
0s;-;72.1%;3038.01352;10895.0000;70;0;3038.01352;0;0
0s;-;72.1%;3038.01378;10895.0000;76;0;3038.01378;0;0
0s;-;72.1%;3038.01378;10895.0000;75;0;3038.01378;0;0
0s;-;72.1%;3038.01378;10895.0000;71;0;3038.01378;2;0
0s;21.9;71.6%;3089.47957;10893.000000;34;33;H
0s;14.9;71.5%;3099.67528;10891.000000;68;61;H
0s;14.1;71.2%;3099.67528;10762.000000;68;67;H
0s;10.0;71.2%;3099.67528;10760.000000;113;122;H
0s;9.2;71.1%;3099.67528;10734.000000;161;177;H
0s;7.9;71.1%;3099.67528;10717.000000;231;295;H
0s;7.1;71.0%;3099.67528;10700.000000;338;380;H
0s;6.9;68.4%;3099.67528;9819.0000000;344;460;H
0s;6.6;68.3%;3099.67528;9769.0000000;399;525;H
0s;6.6;67.1%;3099.67528;9423.0000000;399;537;H
5s;19.7;64.3%;3361.00000;9423.00000;43;37;8139.00000;986;1530
7s;26.3;63.8%;3361.00000;9285.0000000;1090;1736;H
10s;26.1;63.8%;3361.00000;9285.00000;91;33;3684.00000;1126;1810
10s;26.1;63.5%;3361.00000;9210.0000000;1077;1812;H
10s;26.0;63.2%;3361.00000;9140.0000000;1030;1817;H
13s;26.0;62.9%;3361.00000;9064.0000000;997;1835;H
13s;26.0;62.0%;3361.00000;8855.0000000;955;1838;H
15s;18.4;60.6%;3490.72951;8855.00000;95;31;4354.39648;2382;6430
21s;15.6;57.8%;3740.87655;8855.00000;94;37;3899.62402;5919;14754
21s;15.6;56.9%;3740.87655;8681.0000000;5870;H14764
25s;15.0;56.1%;3808.00000;8681.00000;58;45;5482.83933;9375;20962
30s;13.8;54.9%;3912.73906;8681.00000;25;48;6032.87754;15765;33186
39s;13.3;54.2%;3976.74802;8681.00000;60;43;6003.67684;20510;42402
40s;13.3;54.1%;3986.20143;8681.00000;81;32;5247.51414;21712;44027
45s;13.3;53.3%;4051.78410;8681.00000;56;37;5996.98186;27792;56315
50s;13.1;52.8%;4095.53524;8681.00000;36;46;6788.12866;32662;65298
55s;13.0;52.3%;4143.87525;8681.00000;89;39;4238.79737;37917;77258
60s;12.9;51.8%;4186.00000;8681.00000;57;infeasible;43366;88441
65s;12.8;51.4%;4219.30178;8681.00000;35;58;7675.80034;47554;98692
70s;12.8;51.1%;4243.42518;8681.00000;101;39;5722.32125;52145;107254
75s;12.7;50.7%;4278.76762;8681.00000;31;62;8423.00000;57656;117913
80s;12.6;50.4%;4302.45993;8681.00000;90;36;4568.31931;61944;127440
85s;12.6;50.2%;4323.62962;8681.00000;68;infeasible;66335;135796
90s;12.5;49.9%;4347.51425;8681.00000;69;41;4811.46144;70608;145894
95s;12.5;49.7%;4365.47858;8681.00000;56;infeasible;74758;155112
100s;12.5;49.5%;4384.92911;8681.00000;83;42;4606.04363;78182;163574
105s;12.4;49.3%;4402.87798;8681.00000;75;43;6211.32099;81951;172042
110s;12.4;49.1%;4416.35593;8681.00000;44;45;8409.49667;85909;179232
115s;12.4;48.9%;4433.84857;8681.00000;40;64;8390.15827;89307;188279
120s;12.3;48.8%;4446.63930;8681.00000;82;36;5340.98818;93162;196382
125s;12.3;48.6%;4461.71418;8681.00000;86;39;4909.51750;97097;205501
130s;12.3;48.5%;4471.33041;8681.00000;47;43;8522.64389;100588;211641
135s;12.2;48.4%;4481.60177;8681.00000;65;45;5618.47880;103201;218863
143s;12.2;48.2%;4496.89044;8681.00000;41;49;7434.29023;107186;228668
143s;12.2;47.3%;4496.89044;8538.0000000;105297;H228673
145s;12.2;47.3%;4498.37625;8538.00000;30;47;7902.46970;106251;229731
150s;12.2;47.2%;4504.10325;8538.00000;79;41;8039.75403;108094;233814
156s;12.2;47.1%;4515.05309;8538.00000;78;37;4738.83884;110847;239807
161s;12.2;47.0%;4522.75804;8538.00000;81;44;5941.16575;113025;245087
165s;12.2;46.9%;4530.49358;8538.00000;72;42;4770.17790;115211;250186
