0s;-;100%;0.00000;5071.0000000;0;0;H
0s;-;100%;0.00000;5071.00000;14;0;0.00000;0;0
0s;-;100%;0.00000;4874.0000000;0;0;H
0s;-;100%;0.00000;4873.0000000;0;0;H
0s;-;100%;0.00000;4873.00000;31;0;0.00000;0;0
0s;-;100%;0.00000;4873.00000;30;0;0.00000;0;0
0s;-;100%;0.00000;4872.0000000;0;0;H
0s;-;100%;0.00000;4333.0000000;0;0;H
0s;-;100%;0.00000;4333.00000;20;0;0.00000;0;0
0s;-;100%;0.00000;3827.0000000;0;0;H
0s;-;100%;0.00000;3827.00000;39;0;0.00000;0;0
0s;-;89.9%;385.96991;3827.00000;29;0;385.96991;0;0
0s;-;89.4%;385.96991;3654.0000000;0;0;H
0s;-;68.0%;1170.91148;3654.00000;26;0;1170.91148;0;0
0s;-;67.9%;1173.40638;3654.00000;29;0;1173.40638;0;0
0s;-;64.7%;1288.75362;3654.00000;26;0;1288.75362;0;0
0s;-;56.1%;1604.59901;3654.00000;26;0;1604.59901;0;0
0s;-;56.1%;1604.59901;3654.00000;26;0;1604.59901;0;0
0s;-;56.1%;1604.59901;3654.00000;26;0;1604.59901;0;0
0s;-;56.1%;1604.59901;3654.00000;26;0;1604.59901;0;0
0s;-;56.1%;1604.59901;3654.00000;26;0;1604.59901;0;0
0s;-;56.1%;1605.00000;3654.00000;29;0;1605.00000;0;0
0s;-;56.1%;1605.34893;3654.00000;29;0;1605.34893;0;0
0s;-;56.1%;1605.47642;3654.00000;31;0;1605.47642;0;0
0s;-;56.1%;1605.47642;3654.00000;30;0;1605.47642;0;0
0s;-;55.9%;1606.00000;3645.0000000;0;0;H
0s;-;55.9%;1606.00000;3638.0000000;2;0;H
0s;-;55.9%;1606.00000;3638.00000;28;0;1606.00000;2;0
0s;6.0;54.2%;1628.00000;3558.0000000;24;27;H
0s;5.1;54.2%;1628.00000;3557.0000000;30;37;H
0s;4.8;54.2%;1628.00000;3556.0000000;51;65;H
0s;4.7;53.7%;1628.00000;3515.0000000;59;80;H
0s;4.4;53.3%;1628.00000;3488.0000000;92;120;H
0s;4.4;53.1%;1628.00000;3472.0000000;92;123;H
0s;4.6;52.4%;1628.00000;3417.0000000;127;174;H
0s;3.8;49.8%;1676.00000;3341.0000000;838;2648;H
0s;3.9;48.4%;1723.00000;3339.0000000;1414;5131;H
0s;3.9;46.7%;1723.00000;3233.0000000;1344;5133;H
0s;3.9;46.0%;1723.00000;3190.0000000;1279;5137;H
1s;3.9;44.0%;1723.00000;3078.0000000;1220;5144;H
1s;3.9;42.9%;1723.00000;3017.0000000;1158;5145;H
1s;4.7;41.8%;1754.80156;3016.0000000;1111;5160;H
1s;4.7;41.2%;1754.80156;2985.0000000;1056;5162;H
1s;4.6;41.2%;1754.80156;2983.0000000;1004;5164;H
1s;4.6;41.2%;1754.80156;2982.0000000;956;5166;H
1s;4.6;41.1%;1754.80156;2981.0000000;911;5172;H
1s;4.6;41.1%;1754.80156;2979.0000000;866;5172;H
1s;4.6;41.1%;1754.80156;2978.0000000;824;5175;H
2s;4.6;41.1%;1754.80156;2977.0000000;784;5178;H
2s;4.6;41.0%;1754.80156;2975.0000000;745;5178;H
2s;4.6;41.0%;1754.80156;2974.0000000;708;5180;H
2s;4.6;41.0%;1754.80156;2973.0000000;673;5182;H
2s;4.6;40.9%;1754.80156;2971.0000000;639;5182;H
2s;4.6;40.9%;1754.80156;2970.0000000;609;5186;H
2s;4.6;40.2%;1754.80156;2932.0000000;579;5187;H
4s;10.2;22.7%;2247.00000;2908.0000000;49;1153;*13200
5s;10.4;21.3%;2290.00000;2908.00000;50;infeasible;1156;14113
