,instance,status,obj,model time (s),total time (s),gap
0,SNT_01_makespan,2,224.0,0.03699994087219238,4.722215890884399,0.0
0,SNT_01_makespan,2,322.0,0.006999969482421875,0.02152109146118164,0.0
0,SNT_01_makespan,2,322.0,0.024000167846679688,0.053011178970336914,0.0
0,SNT_01_makespan,2,322.0,0.005000114440917969,0.028392314910888672,0.0
0,SNT_01_makespan,2,30.0,0.006000041961669922,0.02200031280517578,0.0
0,SNT_01_makespan,2,30.0,0.0009999275207519531,0.011999130249023438,0.0
0,SNT_01_makespan,2,30.0,0.0009999275207519531,0.010000467300415039,0.0
0,SNT_01_makespan,2,30.0,0.0009999275207519531,0.01200103759765625,0.0
0,SNT_01_makespan,2,30.0,0.0009999275207519531,0.009997367858886719,0.0
0,SNT_01_makespan,2,30.0,0.0009999275207519531,0.009994983673095703,0.0
0,SNT_01_makespan,2,30.0,0.0009999275207519531,0.010996580123901367,0.0
0,SNT_01_makespan,2,30.0,0.0009999275207519531,0.010000944137573242,0.0
0,SNT_01_makespan,2,30.0,0.0010001659393310547,0.010000467300415039,0.0
0,SNT_01_makespan,2,30.0,0.0009999275207519531,0.9023051261901855,0.0
0,SNT_01_makespan,2,30.0,0.0,0.018596172332763672,0.0
0,SNT_01_makespan,2,30.0,0.0,0.00600433349609375,0.0
0,SNT_00_makespan,2,27.0,0.0009999275207519531,0.018463611602783203,0.0
0,SNT_01_makespan,2,30.0,0.0,0.02103400230407715,0.0
0,SNT_00_makespan,2,27.0,0.0009999275207519531,0.008995532989501953,0.0
0,SNT_01_makespan,2,30.0,0.0009999275207519531,0.0059931278228759766,0.0
0,SNT_00_makespan,2,27.0,0.019999980926513672,9.630832433700562,0.0
0,SNT_01_makespan,2,30.0,0.0009999275207519531,0.0070018768310546875,0.0
0,SNT_00_makespan,2,27.0,0.0009999275207519531,0.01299738883972168,0.0
0,SNT_01_makespan,2,30.0,0.0,0.006996631622314453,0.0
0,SNT_00_makespan,2,27.0,0.0,0.015006542205810547,0.0
